t_s,C_center,C_surface,C_mean,R_m
131760.0,0.08114671734737541,0.0744468523037089,0.0777296581176782,0.014098744819580707
131820.0,0.08108030140477965,0.07439481516577032,0.07767058274130142,0.014097749392148647
131880.0,0.08101402644274593,0.07434288782169657,0.07761163239388925,0.014096755041864409
131940.0,0.08094789216193751,0.07429107004121442,0.07755280681156194,0.014095761767825567
132000.0,0.08088189826364615,0.07423936159452278,0.07749410573098761,0.01409476956912983
132060.0,0.08081604444979054,0.07418776225229168,0.07743552888938077,0.014093778444875058
132120.0,0.08075033042291477,0.07413627178566115,0.07737707602450106,0.014092788394159249
132180.0,0.08068475588618668,0.07408488996624014,0.07731874687465194,0.01409179941608055
132240.0,0.08061932054339642,0.07403361656610537,0.07726054117867934,0.014090811509737258
132300.0,0.08055402409895476,0.07398245135780031,0.07720245867597034,0.014089824674227822
132360.0,0.08048886625789164,0.07393139411433401,0.07714449910645196,0.014088838908650841
132420.0,0.08042384672585452,0.0738804446091801,0.07708666221058966,0.014087854212105066
132480.0,0.08035896520910683,0.07382960261627558,0.07702894772938616,0.01408687058368941
132540.0,0.08029422141452645,0.0737788679100198,0.07697135540438008,0.01408588802250294
132600.0,0.0802296150496041,0.07372824026527333,0.07691388497764459,0.01408490652764488
132660.0,0.08016514582244179,0.07367771945735692,0.07685653619178612,0.014083926098214619
132720.0,0.08010081344175127,0.07362730526205029,0.07679930878994308,0.014082946733311712
132780.0,0.08003661761685245,0.07357699745559118,0.07674220251578445,0.014081968432035873
132840.0,0.07997255805767181,0.07352679581467413,0.07668521711350856,0.014080991193486981
132900.0,0.07990863450353608,0.07347670013557772,0.07662835235114179,0.014080015016765092
132960.0,0.07984484665269871,0.07342671018734988,0.07657160796351378,0.014079039900970427
133020.0,0.07978119420560488,0.07337682574054816,0.07651498368726595,0.01407806584520338
133080.0,0.07971767687483466,0.07332704657384487,0.07645847926889712,0.014077092848564515
133140.0,0.07965429437357387,0.0732773724663683,0.07640209445543446,0.014076120910154578
133200.0,0.07959104641561249,0.07322780319770163,0.07634582899443217,0.014075150029074484
133260.0,0.07952793271534328,0.07317833854788199,0.07628968263397028,0.014074180204425335
133320.0,0.07946495298776025,0.0731289782973993,0.0762336551226534,0.014073211435308416
133380.0,0.0794021069484572,0.07307972222719532,0.07617774620960943,0.014072243720825182
133440.0,0.07933939431362624,0.07303057011866261,0.07612195564448834,0.014071277060077284
133500.0,0.07927681480005629,0.07298152175364345,0.07606628317746096,0.014070311452166551
133560.0,0.07921436812513162,0.07293257691442877,0.07601072855921764,0.014069346896195005
133620.0,0.07915205400683041,0.07288373538375721,0.07595529154096708,0.014068383391264861
133680.0,0.07908987216372317,0.07283499694481403,0.07589997187443503,0.014067420936478512
133740.0,0.07902782231497135,0.07278636138123004,0.0758447693118631,0.014066459530938559
133800.0,0.07896590418032585,0.07273782847708062,0.07578968360600744,0.014065499173747784
133860.0,0.07890411748012553,0.07268939801688461,0.07573471451013751,0.014064539864009181
133920.0,0.07884246193529568,0.07264106978560335,0.07567986177803492,0.014063581600649815
133980.0,0.07878093726734663,0.07259284356863961,0.07562512516399203,0.01406262438289344
134040.0,0.0787195431983722,0.07254471915183652,0.07557050442281081,0.014061668209885728
134100.0,0.0786582794510483,0.07249669632147657,0.07551599930980159,0.014060713080730057
134160.0,0.07859714574863133,0.07244877486428053,0.07546160958078171,0.014059758994530006
134220.0,0.07853614181495686,0.07240095456740649,0.07540733499207439,0.014058805950389351
134280.0,0.078475267374438,0.07235323521844872,0.07535317530050742,0.01405785394741207
134340.0,0.07841452215206399,0.07230561660543673,0.07529913026341194,0.014056902984702344
134400.0,0.07835390587339874,0.07225809851683414,0.07524519963862114,0.014055953061364566
134460.0,0.07829341826457936,0.07221068074153769,0.0751913831844691,0.014055004176503324
134520.0,0.07823305905231458,0.0721633630688762,0.0751376806597894,0.01405405632922342
134580.0,0.07817282796388338,0.07211614528860955,0.07508409182391405,0.014053109518629868
134640.0,0.07811272472713347,0.07206902719092757,0.07503061643667208,0.014052163743827888
134700.0,0.07805274907047985,0.0720220085664491,0.07497725425838841,0.014051219003922918
134760.0,0.07799290072290321,0.07197508920622084,0.07492400504988253,0.01405027529802061
134820.0,0.07793317941394863,0.07192826890171641,0.07487086857246723,0.01404933262522683
134880.0,0.07787358487372396,0.07188154744483527,0.07481784458794748,0.014048390984647665
134940.0,0.07781411683289839,0.07183492462790167,0.07476493285861902,0.01404745037538942
135000.0,0.07775477502270099,0.07178840024366362,0.0747121331472672,0.014046510796558625
135060.0,0.07769555917491922,0.07174197408529186,0.07465944521716575,0.014045572247262024
135120.0,0.07763646902189741,0.07169564594637881,0.07460686883207543,0.014044634726606595
135180.0,0.07757750429653534,0.07164941562093756,0.07455440375624292,0.014043698233699537
135240.0,0.07751866477341068,0.0716032829281571,0.0745020497875875,0.014042762767648279
135300.0,0.07745995016186578,0.07155724764804124,0.07444980667141941,0.014041828327560478
135360.0,0.07740136018592761,0.07151130956951961,0.07439767416493721,0.014040894912544026
